,pa1,pa2,pa3,pa4,pa5,pa6
0,0.0731,0.057,0.2764,0.1871,0.3903,0.0162
1,0.068,0.0484,0.2523,0.1943,0.4271,0.0098
2,0.0549,0.0552,0.2416,0.1978,0.4394,0.0111
3,0.0624,0.0501,0.2244,0.2002,0.438,0.0249
4,0.0678,0.0412,0.1776,0.1906,0.5027,0.02
5,0.0542,0.0538,0.1894,0.2159,0.4599,0.0269
6,0.0919,0.0458,0.207,0.1841,0.4597,0.0116
7,0.0754,0.0602,0.2185,0.1883,0.4446,0.013
8,0.0822,0.0579,0.2367,0.1884,0.4154,0.0194
9,0.0778,0.0545,0.2256,0.1984,0.4358,0.0078
10,0.0717,0.0618,0.2249,0.1922,0.4267,0.0227
11,0.0679,0.0583,0.2459,0.1975,0.4141,0.0162
12,0.0684,0.0619,0.2443,0.1987,0.404,0.0227
13,0.078,0.0603,0.2623,0.2056,0.3725,0.0214
14,0.0799,0.0728,0.2293,0.191,0.4096,0.0174
15,0.0685,0.0651,0.2363,0.1952,0.4178,0.0171
16,0.0683,0.0649,0.2321,0.2047,0.4198,0.0102
17,0.0676,0.0676,0.242,0.1959,0.4091,0.0178
18,0.0754,0.0612,0.2375,0.2194,0.3921,0.0143
19,0.0565,0.0751,0.2523,0.2214,0.3872,0.0076
20,0.0635,0.0715,0.2815,0.1869,0.3849,0.0118
21,0.0591,0.0634,0.2744,0.2024,0.3882,0.0126
22,0.0579,0.0631,0.2685,0.2052,0.3895,0.0158
23,0.0671,0.0671,0.2349,0.2146,0.4094,0.0068
